analysis,p_detection,f_statistic,p_value,lambda_attack_rate
lambda_effect_within_p,0.35,0.5474027758250856,0.6499436484946862,
lambda_effect_within_p,0.4,0.9431132406570979,0.41899569041080087,
lambda_effect_within_p,0.45,2.4777943607784887,0.05974972274613082,
lambda_effect_within_p,0.5,0.7434649316503363,0.526179887387989,
lambda_effect_within_p,0.55,0.6343079613418662,0.5929300765462684,
lambda_effect_within_p,0.6,0.9198366009439426,0.43051218017471404,
lambda_effect_within_p,0.7,0.02859681215885437,0.9934831553429183,
lambda_effect_within_p,0.8,0.010995300604717364,0.9984215050114155,
lambda_effect_within_p,0.85,0.003989501371543436,0.9996528228341065,
lambda_effect_within_p,0.9,0.02268091509713768,0.9953723584160821,
lambda_effect_within_p,0.95,0.016740498957984573,0.9970498749663019,
p_effect_within_lambda,,0.703053245127713,0.7224653931043974,0.2
p_effect_within_lambda,,0.4703113294587074,0.9099881854725561,0.5
p_effect_within_lambda,,0.4530417830009459,0.920150735127707,1.0
p_effect_within_lambda,,0.3039082645135325,0.9804422623893758,2.0
