p,n,cohens_d,magnitude
0.7,10.0,0.0,negligible
0.7,25.0,0.0,negligible
0.7,50.0,0.0,negligible
0.7,100.0,0.0,negligible
0.8,10.0,0.0,negligible
0.8,25.0,0.0,negligible
0.8,50.0,0.0,negligible
0.8,100.0,0.0,negligible
0.85,10.0,0.0,negligible
0.85,25.0,0.0,negligible
0.85,50.0,0.0,negligible
0.85,100.0,0.0,negligible
0.9,10.0,0.0,negligible
0.9,25.0,0.0,negligible
0.9,50.0,0.0,negligible
0.9,100.0,0.0,negligible
0.95,10.0,0.0,negligible
0.95,25.0,0.0,negligible
0.95,50.0,0.0,negligible
0.95,100.0,0.0,negligible
