p,n,theoretical,observed_mean,observed_std,difference,ci_lower,ci_upper,theory_in_ci,t_statistic,p_value
0.7,10.0,0.9999940951,1.0,0.0,5.9048999999644636e-06,1.0,1.0,False,0.0,1.0
0.7,25.0,0.9999999999999153,1.0,0.0,8.471001677889944e-14,1.0,1.0,False,0.0,1.0
0.7,50.0,1.0,1.0,0.0,0.0,1.0,1.0,True,0.0,1.0
0.7,100.0,1.0,1.0,0.0,0.0,1.0,1.0,True,0.0,1.0
0.8,10.0,0.9999998976,1.0,0.0,1.02400000034919e-07,1.0,1.0,False,0.0,1.0
0.8,25.0,1.0,1.0,0.0,0.0,1.0,1.0,True,0.0,1.0
0.8,50.0,1.0,1.0,0.0,0.0,1.0,1.0,True,0.0,1.0
0.8,100.0,1.0,1.0,0.0,0.0,1.0,1.0,True,0.0,1.0
0.85,10.0,0.9999999942334961,1.0,0.0,5.766503941018186e-09,1.0,1.0,False,0.0,1.0
0.85,25.0,1.0,1.0,0.0,0.0,1.0,1.0,True,0.0,1.0
0.85,50.0,1.0,1.0,0.0,0.0,1.0,1.0,True,0.0,1.0
0.85,100.0,1.0,1.0,0.0,0.0,1.0,1.0,True,0.0,1.0
0.9,10.0,0.9999999999,1.0,0.0,1.000000082740371e-10,1.0,1.0,False,0.0,1.0
0.9,25.0,1.0,1.0,0.0,0.0,1.0,1.0,True,0.0,1.0
0.9,50.0,1.0,1.0,0.0,0.0,1.0,1.0,True,0.0,1.0
0.9,100.0,1.0,1.0,0.0,0.0,1.0,1.0,True,0.0,1.0
0.95,10.0,0.9999999999999023,1.0,0.0,9.769962616701378e-14,1.0,1.0,False,0.0,1.0
0.95,25.0,1.0,1.0,0.0,0.0,1.0,1.0,True,0.0,1.0
0.95,50.0,1.0,1.0,0.0,0.0,1.0,1.0,True,0.0,1.0
0.95,100.0,1.0,1.0,0.0,0.0,1.0,1.0,True,0.0,1.0
