observed_packet_detection_rate,drop_rate,total_detected,total_attacks,final_buffer_utilization,final_throughput,p,lambda,rep
0.0,0.0,0,0,0.0,0.0,0.3,0.1,0
0.3333333333333333,0.0,50,3,0.0,0.0,0.3,0.1,1
0.24,0.0,24,2,0.0,0.0,0.3,0.1,2
0.38,0.0,19,1,0.0,0.0,0.3,0.1,3
0.3,0.0,15,1,0.0,0.0,0.3,0.1,4
0.0,0.0,0,0,0.0,0.0,0.3,0.1,5
0.0,0.0,0,0,0.0,0.0,0.3,0.1,6
0.36,0.0,18,1,0.0,0.0,0.3,0.1,7
0.32,0.0,16,1,0.0,0.0,0.3,0.1,8
0.28,0.0,14,1,0.0,0.0,0.3,0.1,9
0.345,0.0,69,4,0.0,0.0,0.3,0.1,10
0.0,0.0,0,0,0.0,0.0,0.3,0.1,11
0.22,0.0,11,1,0.0,0.0,0.3,0.1,12
0.35,0.0,35,2,0.0,0.0,0.3,0.1,13
0.32,0.0,16,1,0.0,0.0,0.3,0.1,14
0.3,0.0,15,1,0.0,0.0,0.3,0.1,15
0.0,0.0,0,0,0.0,0.0,0.3,0.1,16
0.42,0.0,21,1,0.0,0.0,0.3,0.1,17
0.3,0.0,15,1,0.0,0.0,0.3,0.1,18
0.26,0.0,39,3,0.0,0.0,0.3,0.1,19
0.0,0.0,0,0,0.0,0.0,0.3,0.1,20
0.0,0.0,0,0,0.0,0.0,0.3,0.1,21
0.28,0.0,14,1,0.0,0.0,0.3,0.1,22
0.0,0.0,0,0,0.0,0.0,0.3,0.1,23
0.0,0.0,0,0,0.0,0.0,0.3,0.1,24
0.42,0.0,21,1,0.0,0.0,0.3,0.1,25
0.32,0.0,16,1,0.0,0.0,0.3,0.1,26
0.22,0.0,11,1,0.0,0.0,0.3,0.1,27
0.0,0.0,0,0,0.0,0.0,0.3,0.1,28
0.33,0.0,33,2,0.0,0.0,0.3,0.1,29
0.275,0.0,55,4,0.0,0.0,0.3,0.5,0
0.284,0.0,71,5,0.0,0.0,0.3,0.5,1
0.29,0.0,87,6,0.0,0.0,0.3,0.5,2
0.30857142857142855,0.0,108,7,0.0,0.0,0.3,0.5,3
0.316,0.0,79,5,0.0,0.0,0.3,0.5,4
0.34,0.0,102,6,0.0,0.0,0.3,0.5,5
0.285,0.0,57,4,0.0,0.0,0.3,0.5,6
0.34,0.0,68,4,0.0,0.0,0.3,0.5,7
0.38,0.0,19,1,0.0,0.0,0.3,0.5,8
0.3333333333333333,0.0,50,3,0.0,0.0,0.3,0.5,9
0.19333333333333333,0.0,29,3,0.0,0.0,0.3,0.5,10
0.23333333333333334,0.0,35,3,0.0,0.0,0.3,0.5,11
0.29,0.0,58,4,0.0,0.0,0.3,0.5,12
0.2733333333333333,0.0,41,3,0.0,0.0,0.3,0.5,13
0.31,0.0,124,8,0.0,0.0,0.3,0.5,14
0.28,0.0,56,4,0.0,0.0,0.3,0.5,15
0.37,0.0,74,4,0.0,0.0,0.3,0.5,16
0.37,0.0,37,2,0.0,0.0,0.3,0.5,17
0.31,0.0,62,4,0.0,0.0,0.3,0.5,18
0.29,0.0,58,4,0.0,0.0,0.3,0.5,19
0.29,0.0,87,6,0.0,0.0,0.3,0.5,20
0.308,0.0,77,5,0.0,0.0,0.3,0.5,21
0.284,0.0,71,5,0.0,0.0,0.3,0.5,22
0.284,0.0,71,5,0.0,0.0,0.3,0.5,23
0.312,0.0,78,5,0.0,0.0,0.3,0.5,24
0.25333333333333335,0.0,38,3,0.0,0.0,0.3,0.5,25
0.2833333333333333,0.0,85,6,0.0,0.0,0.3,0.5,26
0.25333333333333335,0.0,38,3,0.0,0.0,0.3,0.5,27
0.2733333333333333,0.0,41,3,0.0,0.0,0.3,0.5,28
0.312,0.0,78,5,0.0,0.0,0.3,0.5,29
0.2914285714285714,0.0,102,7,0.0,0.0,0.3,1.0,0
0.275,0.0,165,12,0.0,0.0,0.3,1.0,1
0.3175,0.0,127,8,0.0,0.0,0.3,1.0,2
0.2963636363636364,0.0,163,11,0.0,0.0,0.3,1.0,3
0.31,0.0,186,12,0.0,0.0,0.3,1.0,4
0.3046153846153846,0.0,198,13,0.0,0.0,0.3,1.0,5
0.294,0.0,147,10,0.0,0.0,0.3,1.0,6
0.29833333333333334,0.0,179,12,0.0,0.0,0.3,1.0,7
0.3075,0.0,123,8,0.0,0.0,0.3,1.0,8
0.30133333333333334,0.0,226,15,0.0,0.0,0.3,1.0,9
0.32,0.0,128,8,0.0,0.0,0.3,1.0,10
0.33,0.0,99,6,0.0,0.0,0.3,1.0,11
0.31777777777777777,0.0,143,9,0.0,0.0,0.3,1.0,12
0.32769230769230767,0.0,213,13,0.0,0.0,0.3,1.0,13
0.326,0.0,163,10,0.0,0.0,0.3,1.0,14
0.32545454545454544,0.0,179,11,0.0,0.0,0.3,1.0,15
0.29333333333333333,0.0,132,9,0.0,0.0,0.3,1.0,16
